price,coin,market_cap,volume,timestamp
95495.89153299287,bitcoin,1892702154844.508,38311133144.729355,2025-02-19 00:00:00
96554.87156259285,bitcoin,1914337919659.5537,27703222487.389572,2025-02-20 00:00:00
98384.31738240314,bitcoin,1950376106325.3228,24175261969.81266,2025-02-21 00:00:00
96135.15541305285,bitcoin,1906058197506.3809,42477472950.92155,2025-02-22 00:00:00
96564.15414290235,bitcoin,1915260330870.798,18464415570.762142,2025-02-23 00:00:00
96327.46309127835,bitcoin,1909625674815.4763,16643044374.983364,2025-02-24 00:00:00
91396.76686930266,bitcoin,1814176779160.4363,45539703844.38777,2025-02-25 00:00:00
88755.7693356979,bitcoin,1759750360550.3337,96742453402.56294,2025-02-26 00:00:00
83900.11496524839,bitcoin,1664314955447.7466,69277430795.68657,2025-02-27 00:00:00
84709.14477847965,bitcoin,1679555320077.2097,81960688217.70384,2025-02-28 00:00:00
84441.9012237131,bitcoin,1674754437110.342,80695237175.07367,2025-03-01 00:00:00
86005.25629681018,bitcoin,1705564098300.8237,30634474722.6359,2025-03-02 00:00:00
94261.53286538439,bitcoin,1868321705444.4878,61859112550.80991,2025-03-03 00:00:00
86124.71418722175,bitcoin,1708198960874.3418,68715362745.4567,2025-03-04 00:00:00
87310.80531078295,bitcoin,1731441668069.6523,65863356680.42408,2025-03-05 00:00:00
90604.08098523637,bitcoin,1797706868227.531,51606642859.81411,2025-03-06 00:00:00
90001.40087607042,bitcoin,1782785866811.654,47555759124.64708,2025-03-07 00:00:00
86773.33597555371,bitcoin,1720436931689.2776,63216440874.73251,2025-03-08 00:00:00
86142.9833586432,bitcoin,1708605516770.228,18809360803.37126,2025-03-09 00:00:00
80751.13893300897,bitcoin,1602073794580.0344,32013406240.51754,2025-03-10 00:00:00
78783.94057934263,bitcoin,1563547150147.7332,49983692766.22745,2025-03-11 00:00:00
82799.1080292053,bitcoin,1642997419531.6057,56404462275.083046,2025-03-12 00:00:00
83884.24578828987,bitcoin,1662502658717.542,41782186208.59073,2025-03-13 00:00:00
81098.90052436228,bitcoin,1608477373718.186,32583592654.882656,2025-03-14 00:00:00
83971.70916064628,bitcoin,1665725559905.8198,28571483950.074646,2025-03-15 00:00:00
84391.69087647168,bitcoin,1674173293916.4658,10761796127.312485,2025-03-16 00:00:00
82610.61750343916,bitcoin,1638672153483.722,21638031633.118767,2025-03-17 00:00:00
84075.36559694471,bitcoin,1667799227887.438,19659366246.596867,2025-03-18 00:00:00
82780.03048688271,bitcoin,1642578274105.806,24557570268.85276,2025-03-19 00:00:00
86815.44109470697,bitcoin,1721565138141.278,33871216993.304657,2025-03-20 00:00:00
84270.84358966233,bitcoin,1672550706502.8184,27579127651.06656,2025-03-21 00:00:00
84009.532917822,bitcoin,1666749159154.2927,18091004975.919056,2025-03-22 00:00:00
83793.30854192551,bitcoin,1662574363663.653,7771134681.982918,2025-03-23 00:00:00
